Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
340,Steve Blake,PG,35,DET,58,2,17,1.6,4.1,0.9,2.6,0.7,1.5,0.3,0.3,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4
341,Dewayne Dedmon,C,26,ORL,58,20,12.2,1.7,3.1,0,0,1.7,3.1,1,1.3,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4
342,Jonas Jerebko,PF,28,BOS,78,0,15.1,1.5,3.7,0.6,1.4,1,2.3,0.8,1,1,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4
343,Briante Weber,PG,23,TOT,7,4,24.1,2,5.6,0,0.7,2,4.9,0.4,0.6,1.1,2.4,3.6,3,1.3,0.4,1.3,1.7,4.4
344,Joakim Noah,C,30,CHI,29,2,21.9,1.8,4.6,0,0,1.8,4.6,0.8,1.6,3,5.8,8.8,3.8,0.6,1,1.8,2.7,4.3
345,Thomas Robinson,PF,24,BRK,71,7,12.9,1.8,4.1,0,0,1.8,4.1,0.7,1.5,1.9,3.1,5.1,0.6,0.5,0.5,1,1.6,4.3
346,C.J. Watson,PG,31,ORL,33,2,19.9,1.4,4.2,0.4,1.5,1,2.7,1,1.2,0.3,1.7,2,2.7,0.6,0.2,0.8,1.5,4.3
347,Jeff Withey,C,25,UTA,51,10,12.9,1.7,3.2,0,0,1.7,3.1,0.8,1.2,1.1,2.3,3.4,0.4,0.4,1,0.5,1.5,4.3
348,Solomon Hill,SF,24,IND,59,3,14.7,1.6,3.5,0.4,1.3,1.2,2.3,0.6,0.7,0.7,2.2,2.8,1,0.6,0.2,0.6,1.2,4.2
349,Joe Ingles,SF,28,UTA,81,2,15.3,1.5,3.6,1,2.6,0.5,1,0.2,0.2,0.2,1.6,1.9,1.2,0.7,0,0.8,1.2,4.2
350,Tyus Jones,PG,19,MIN,37,0,15.5,1.5,4.2,0.4,1.4,1.1,2.8,0.8,1.1,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,4.2
351,Ryan Kelly,PF,24,LAL,36,0,13.1,1.5,4.1,0.1,1,1.4,3.1,1,1.5,0.6,2.8,3.4,0.6,0.4,0.3,0.5,1.1,4.2
352,Brandon Rush,SG,30,GSW,72,25,14.7,1.5,3.6,0.9,2.2,0.6,1.4,0.3,0.4,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2
353,Elton Brand,C,36,PHI,17,1,13.2,1.8,4.2,0,0.1,1.8,4.2,0.5,0.5,0.5,3.2,3.7,1.1,0.5,0.5,0.6,1.9,4.1
